ingredient,source_medicine_count,source_composition_count,source_evidence,sample_source_medicines,risk_flags,relation_status,review_status
beclometasone,56,28,Treatment of Fungal skin infections | Skin infections | Treatment of Skin infections | Asthma | Skin conditions with inflammation & itchingTreatment of Asthma | Chronic obstructive pulmonary disease (COPD) | Treatment of Asthma | Treatment of Piles | Treatment of Ear infection | Sneezing and runny nose due to allergiesTreatment of Asthma,Aerocort Forte Rotacap | Aerocort Inhaler | Anovate Cream | Beclate 200 Rotacaps | Derisone L Forte Respicap,,composition_level_evidence_only,review_required
isotretinoin,56,7,Treatment of Acne,Acnex 20 Capsule | Actame 20mg Tablet | Acutret 10 Capsule | Acutret 20 Capsule | Acutret 30 Capsule,,composition_level_evidence_only,review_required
oxcarbazepine,56,6,Epilepsy/Seizures,Lovax OD 600 Tablet ER | Oleptal 600 Tablet | Oleptal DT 300 Tablet | Oleptal DT 450 Tablet | Oleptal OD 150 Tablet SR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
ramipril,56,16,Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure | Prevention of heart attack and stroke | High blood pressure with high cholesterol,Ace Revelol 25/2.5 Tablet ER | Ace Revelol 50/5 Tablet ER | Cardace 2.5 Tablet | Embeta-R 2.5 Tablet | Embeta-R 5 Tablet ER,chronic_or_specialist_condition,composition_level_evidence_only,review_required
cefixime,55,16,Treatment of Bacterial infections | Bacterial infections | Treatment of Typhoid feverTreatment of Bacterial infections,Asert D Tablet ER | Extacef 200 DT Tablet | Gramocef-CV Tablet | Gramocef-O 200mg Tablet DT | Hhcefi 200 Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
fluconazole,55,14,Treatment of Fungal infections | Fungal skin infectionsTreatment of Fungal infections | Ear infectionTreatment of Fungal infections | Fungal infections of eyeTreatment of Fungal infections | Syndromic treatment of vaginal discharge | Treatment of Dandruff | Treatment of Fungal infections of vagina | Treatment of Syndromic treatment of vaginal discharge,AF 150 Tablet DT | AF 200 Tablet | AF 300 Tablet | AF 400 Tablet | AF 50 Tablet DT,injection_or_parenteral,composition_level_evidence_only,review_required
hydroquinone,55,15,Melasma | Treatment of Melasma | Treatment of Hyperpigmentation,A Ret HC Cream | Adoclear HQ Cream | Advan-THF Cream | Belina Gel | Brite Cream,,composition_level_evidence_only,review_required
mefenamic acid,54,16,Pain reliefTreatment of Fever | Treatment of Heavy menstrual bleedingTreatment of Menstrual pain | Pain relief | Treatment of Menstrual painTreatment of Abdominal cramp | Treatment of Abdominal pain | Abdominal cramp | Treatment of Menstrual pain,Almefkem 250mg Tablet | Almefkem Spas 10mg/250mg Tablet | Anafortan-MF 50mg/250mg Tablet | Biospas Plus 10mg/250mg Tablet | Dovy-M Tablet,,composition_level_evidence_only,review_required
tacrolimus,54,7,Treatment of Atopic dermatitis | Prevention of organ rejection in transplant patients | Treatment of Allergic eye disease | Treatment of Oral lichen planus,Eczrid Forte Lotion | Entrak Soothe Eye Ointment | Grafnos 0.5 Capsule | Grafnos 1 Capsule | Hhmus 0.1% Ointment,,composition_level_evidence_only,review_required
tranexamic acid,53,13,Treatment of Bleeding | Treatment of Heavy menstrual bleedingTreatment of Menstrual pain | Heavy menstrual bleeding | Melasma | Bleeding | Melasma Hyperpigmentation | Menstrual pain | Treatment of Melasma | Treatment of Varicose veins,Anthocyn-TX Cream | Anthocyn-TX Tablet | Etex-T Tablet | Ethasyl T 500 mg/250 mg Tablet | Ethored TX 250mg/250mg Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
bromelain,52,11,Pain relief | Pain relief Swelling | Swelling | Treatment of Bacterial skin infections,Actiheal-D Tablet | Allenza Tablet | Bromin Tablet | Bromutrip Tablet | Dill-N Tablet,,composition_level_evidence_only,review_required
rutoside,51,10,Pain relief | Pain relief Swelling | Swelling,Actiheal-D Tablet | Allenza Tablet | Bromin Tablet | Bromutrip Tablet | Dill-N Tablet,,composition_level_evidence_only,review_required
terbutaline,51,30,Treatment of Cough with mucus | Cough | Cough with mucus | Treatment of Cough,Advanced LCF Kid Expectorant | Aerodil  Expectorant | Alkof Syrup | Ambrolite 2S Expectorant | Ambrolite-S Expectorant,,composition_level_evidence_only,review_required
budesonide,50,17,Treatment of Chronic obstructive pulmonary disease (COPD) | Asthma | Treatment of Ulcerative colitis | Chronic obstructive pulmonary disease (COPD) | Treatment of Sneezing and runny nose due to allergiesTreatment of Nasal polyps,Airtec FB 200 Instacap | Airtec FB 400 Instacap | Budamate 100 Transcaps | Budamate 100 Transhaler | Budamate 200 Transcaps,,composition_level_evidence_only,review_required
neomycin,50,22,Treatment of Skin infections | Bacterial skin infections | Treatment of Bacterial skin infections | Skin infections | Treatment of Bacterial eye / ear infections | Treatment of Bacterial eye infections | Treatment of Ear infection,Agiclob NM Cream | Betnesol-N Eye/Ear Drops | Dermikem 4 Cream | Diprolite Cream | Eclospan Cream,,composition_level_evidence_only,review_required
risperidone,50,10,Treatment of SchizophreniaTreatment of Mania | Schizophrenia | Treatment of Schizophrenia Mania,Respidon 1 Tablet | Respidon 2 Tablet | Respidon 4 Tablet | Resque 2mg Tablet | Resque LS Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
olanzapine,48,11,Treatment of SchizophreniaTreatment of Mania | Bipolar depression | SchizophreniaTreatment of Mania,Fostera 20 mg/10 mg Tablet | Ola 15 Tablet | Olagress MD 5 Tablet | Olan 10 Tablet | Olan 5 Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
trypsin,48,8,Pain relief | Pain relief Swelling | Swelling,Actiheal-D Tablet | Allenza Tablet | Bromin Tablet | Bromutrip Tablet | Dill-N Tablet,,composition_level_evidence_only,review_required
ursodeoxycholic acid,47,6,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,Actibile 150 Tablet | Actibile 300 Tablet | Bilefix 300 Tablet | Fortibile 150 Tablet | Golbi 300 Tablet,,composition_level_evidence_only,review_required
zinc pyrithione,46,8,Treatment of Fungal skin infectionsTreatment of Dandruff | Treatment of Dandruff,AF-K Lotion | Allyzole Shampoo | Anti Druf Lotion | Dan Shine Lotion | Danblock Lotion,,composition_level_evidence_only,review_required
escitalopram oxalate,45,4,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Depranex 5 Tablet | Desilam 10 Tablet | Escigress 10 Tablet | Escigress 5 Tablet | Escipra 10 Tablet,,composition_level_evidence_only,review_required
miconazole,45,18,Treatment of Skin infections | Treatment of Fungal skin infections | Skin infections | Dandruff | Dermatitis Fungal skin infections,Afderm-MN + Cream | Agiclob NM Cream | Betnovate-GM Cream | Dandrid Lotion | Dermikem 4 Cream,,composition_level_evidence_only,review_required
povidone iodine,45,19,Treatment and prevention of Wound infection | Bacterial skin infections | Treatment of Mouth infectionTreatment of Sore throatTreatment of Dry mouthTreatment and prevention of Wound infection | Wound infection | Treatment of Wound infection | Treatment of Dry eyes,Betadine 10% Ointment | Betadine 10% Solution | Betadine 2% Gargle Mint | Betadine 5% Ointment | Betadine 7.5% Surgical Scrub,,composition_level_evidence_only,review_required
adapalene,43,4,Treatment of Acne | Acne,AB-Next Gel | Accare Gel | Acnedap Plus Gel | Acnesol A Nano Gel | Acnetor AD Gel,,composition_level_evidence_only,review_required
menthol,43,33,Cough | Treatment of Allergic eye disease | Pain relief | Treatment of Cough | Common cold | Cough with mucus | Neuropathic pain | Treatment of Piles | Dandruff,Advanced LCF Kid Expectorant | Alex P Syrup | Ambrolite 2S Expectorant | Ambrolite-S Expectorant | Andre I-Kul Eye Drop,,composition_level_evidence_only,review_required
rifaximin,43,5,Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea | Treatment of Infectious diarrhea,Dirifa 400 Tablet | Dirifa 550 Tablet | Faxicad 200mg Tablet | Faxicad 400 Tablet | Gifaxin  100 mg Syrup,,composition_level_evidence_only,review_required
vitamin d3,43,28,Treatment of Vitamin D deficiencyTreatment of Osteoporosis | High cholesterol | Osteoporosis | Nutritional deficiencies | Treatment of Female infertility | Female infertility | Neuropathic pain | Meniere's disease | Pain relief | Polycystic ovarian syndrome (PCOS),Alensol-D Tablet | Arachitol 3L Injection | Arachitol 6L Injection | Atorsave D 10 Tablet | Atorsave D 20 Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
acebrophylline,42,9,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD) | Treatment and prevention of Chronic obstructive pulmonary disease (COPD)Treatment of Sneezing and runny nose due to allergies | Asthma | Treatment of Chronic obstructive pulmonary disease (COPD) | Cough with mucus,AB Phylline Capsule | AB Phylline N Tablet | AB Phylline SR 200 Tablet | AB Phylline Syrup | AB-Flo Capsule,,composition_level_evidence_only,review_required
amisulpride,42,6,Schizophrenia,Amazeo 100 Tablet | Amazeo 200 Tablet | Amazeo 300 Tablet | Amazeo 50 Tablet | Amazeo OD 200 Tablet SR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
fusidic acid,42,7,Treatment of Bacterial skin infections Bacterial eye infections | Treatment of Skin conditions with inflammation & itching | Skin infections | Treatment of Skin infections,Bactafuz Cream | Eczmate-F Cream | Etaze-ID Cream | Ezimet-F Cream | FT-Mac Cream,,composition_level_evidence_only,review_required
sucralfate,42,20,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers | Treatment of Intestinal ulcersTreatment of Stomach ulcers | Bacterial skin infections | Treatment of Anal fissure | Burns | Treatment of Burns | Treatment of Piles | Treatment of Skin conditions with inflammation & itchingTreatment of Intestinal ulcersTreatment of Stomach ulcers | Wound infection,Ancool  SF Suspension | Ano Metrogyl Cream | Anosum Cream | Drez Powder | Drez S Dusting Powder,,composition_level_evidence_only,review_required
tamsulosin,41,10,Treatment of Benign prostatic hyperplasia | Benign prostatic hyperplasia | Treatment of Kidney stone,Dutas T Plus Capsule PR | Geriflo  Tablet SR | Geriflo-D Tablet SR | Geristart Tablet PR | Geritam 0.4 Tablet ER,,composition_level_evidence_only,review_required
timolol,41,11,Treatment of GlaucomaTreatment of Ocular hypertension | Treatment of Ocular hypertensionTreatment of Glaucoma | Glaucoma Ocular hypertension | Ocular hypertension Glaucoma,Abpress Eye Drop | Albrim T Eye Drop | Betabrim Eye Drop | Bidin T  Eye Drop | Bimat LS TM Eye Drop,chronic_or_specialist_condition,composition_level_evidence_only,review_required
tadalafil,40,6,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH) | Treatment of Erectile dysfunction | Treatment of Premature ejaculation | Treatment of Pulmonary arterial hypertension (PAH),Bigfun 36 Tablet | ED Save Tablet | Edrive-T 2.5 Tablet | Edrive-TD Tablet | Efil 10mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
sodium valproate,39,12,Epilepsy | Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,Encorate 300 Tablet | Encorate 500 Tablet | Encorate Chrono 200 Tablet CR | Encorate Chrono 300 Tablet CR | Encorate Chrono 400 Tablet CR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
methylprednisolone,38,8,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Denisole 4 Tablet | Depo-Medrol 40mg Injection | Depotex 4mg Tablet | Ethislone 16mg Tablet | Ivepred 1000mg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
nebivolol,38,13,Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke,Nebi 2.5 Tablet | Nebi 5 Tablet | Nebi-AM Tablet | Nebi-H Tablet | Nebicard 10 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
ornidazole,38,14,Treatment of Bacterial & parasitic infections | Diarrhea Dysentery | Wound infection | Diarrhea | Skin infections | Treatment of Mouth infection | Treatment of Skin infections | Treatment of Syndromic treatment of vaginal discharge | Treatment of Vaginitis,AF Kit Tablet | Amicline Plus Tablet | Bionect Ointment | Forcutril Plus Cream | Itgo-O2 Tablet,,composition_level_evidence_only,review_required
sodium hyaluronate,38,11,Treatment of Dry eyes | Treatment of Osteoarthritis | Arthralgia (joint pain) | Melasma,Aquaray Plus  Eye Drop | Aquim PF Eye Drop | Belina Gel | Ecofab-HA Eye Drop | Eubri Eye Drop,injection_or_parenteral,composition_level_evidence_only,review_required
paroxetine,37,7,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Depaxil CR 12.5 Tablet | Depaxil CR 25 Tablet | Panex-CR 12.5 Tablet | Panex-CR 25 Tablet | Paradise XR 12.5 Tablet,,composition_level_evidence_only,review_required
propranolol,37,9,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors | Prevention of Migraine | Migraine,Amnurite Beta 10/40 ER Tablet | Amnurite Beta 5/20 ER Tablet | Betacap 10 Tablet | Betacap 20 Tablet | Betacap Plus 10 Capsule SR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
amitriptyline,36,14,Treatment of Depression Neuropathic painTreatment of Migraine | Neuropathic pain | Migraine | Acidity Heartburn Anxiety,Amicon 10 Tablet | Amicon 25mg Tablet | Amigaba 300 mg/10 mg Tablet | Amitone 10mg Tablet | Amitone 25mg Tablet,,composition_level_evidence_only,review_required
cefuroxime,36,8,Treatment of Bacterial infections,Acf 500 Tablet | Altacef 250mg Tablet | Altacef 500 Tablet | Altacef Suspension | Anbid 500 Tablet,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
loteprednol etabonate,36,8,Treatment of Eye infection with inflammation | Redness and swelling in the eye | Treatment of Bacterial eye infections,Kitmox-LD  Opthalmic Suspension | L-pred Ophthalmic Suspension | LP-Mox Eye Drop | Lot Eye Drop | Lotechek Eye Drop,,composition_level_evidence_only,review_required
dutasteride,35,5,Treatment of Benign prostatic hyperplasia | Benign prostatic hyperplasia,Afdura Tablet ER | Alfugress-D  Tablet SR | Alfusin D Tablet ER | Avoprost D 8mg/0.5mg Capsule | Duprost Capsule,,composition_level_evidence_only,review_required
acetylcysteine,34,13,Treatment of Paracetamol toxicity | Treatment of Chronic obstructive pulmonary disease (COPD) | Chronic obstructive pulmonary disease (COPD) | Female infertility | Treatment of Age-related hearing loss (presbycusis) | Treatment of Chronic kidney disease,AB Phylline N Tablet | AB-Flo-N Tablet | Abrozac 100mg/600mg Tablet | Ambronac Tablet | Amucoe Nac Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
